source,target,relation,description,source_chunk
Cadmium chloride,Covalent character,has,Cadmium chloride has considerable covalent character,unknown_0
Cadmium chloride,Hygroscopic,is,Cadmium chloride is hygroscopic,unknown_0
Cadmium chloride,Solubility,has,Cadmium chloride has high solubility in water,unknown_0
Cadmium chloride,Water,is_soluble_in,Cadmium chloride is soluble in water,unknown_0
Cadmium chloride,Alcohol,is_slightly_soluble_in,Cadmium chloride is slightly soluble in alcohol,unknown_0
Water blue,Histology,used in,Water blue is used as a stain in histology,unknown_0
Water blue,Collagen,stains,Water blue stains collagen blue in tissue sections,unknown_0
Water blue,Tissue sections,used in,Water blue is used to stain tissue sections,unknown_0
Water blue,Ethanol,slightly soluble in,Water blue is slightly soluble in ethanol,unknown_0
Water blue,Solubility,has,Water blue has solubility in water and ethanol,unknown_0
Diflucortolone valerate,corticosteroid,is a type of,Diflucortolone valerate is a corticosteroid,unknown_0
Diflucortolone valerate,valeric acid,is esterified with,Diflucortolone valerate is esterified with valeric acid,unknown_0
Diflucortolone valerate,New Zealand topical steroid system,is rated in,Diflucortolone valerate is rated Class 2 'potent' in the New Zealand topical steroid system,unknown_0
Diflucortolone valerate,dermatology,is used in,Diflucortolone valerate is commonly used in dermatology,unknown_0
Nerisone,Diflucortolone valerate,is a brand name for,Nerisone is a brand name for Diflucortolone valerate,unknown_0
Heptanoic acid,Carboxylic acid,is a type of,Heptanoic acid is a carboxylic acid,unknown_0
Heptanoic acid,Organic compound,is a type of,Heptanoic acid is an organic compound,unknown_0
Heptanoic acid,Seven-carbon chain,has a,Heptanoic acid has a seven-carbon chain,unknown_0
Heptanoic acid,Oily liquid,is a,Heptanoic acid is an oily liquid,unknown_0
Heptanoic acid,Rancid odor,contributes to,Heptanoic acid contributes to the rancid odor,unknown_0
Heptanoic acid,Water,is slightly soluble in,Heptanoic acid is slightly soluble in water,unknown_0
Heptanoic acid,Ethanol,is very soluble in,Heptanoic acid is very soluble in ethanol,unknown_0
Heptanoic acid,Ether,is very soluble in,Heptanoic acid is very soluble in ether,unknown_0
Ethanol,Alcohol,is a type of,Ethanol is a type of alcohol,unknown_0
Ethanol,Chemical Formula,has,Ethanol has a chemical formula,unknown_0
Ethanol,C2H5OH,is represented by,Ethanol is represented by the chemical formula C2H5OH,unknown_0
Ethanol,CH3 −CH2 −OH,is also represented by,Ethanol is also represented by the chemical formula CH3 −CH2 −OH,unknown_0
Ethanol,EtOH,is abbreviated as,Ethanol is abbreviated as EtOH,unknown_0
Ethanol,Alcoholic Drinks,is found in,Ethanol is found in alcoholic drinks,unknown_0
Alcohol,Drinking Alcohol,includes,Alcohol includes drinking alcohol,unknown_0
Tributyltin oxide,Organotin compound,is a type of,Tributyltin oxide is an example of an organotin compound,unknown_0
Tributyltin oxide,Biocide,is used as,Tributyltin oxide is used as a biocide,unknown_0
Tributyltin oxide,Fungicide,is used as,Tributyltin oxide is used as a fungicide,unknown_0
Tributyltin oxide,Molluscicide,is used as,Tributyltin oxide is used as a molluscicide,unknown_0
Tributyltin oxide,Wood preservative,is used as,Tributyltin oxide is used as a wood preservative,unknown_0
Tributyltin oxide,Skin irritant,is a,Tributyltin oxide is a skin irritant,unknown_0
Benzamide,benzoic acid,derivative,Benzamide is a derivative of benzoic acid,unknown_0
Benzamide,chemical formula,has,Benzamide has the chemical formula CHCONH,unknown_0
Benzamide,water,is slightly soluble in,Benzamide is slightly soluble in water,unknown_0
Benzamide,organic solvents,is soluble in,Benzamide is soluble in many organic solvents,unknown_0
Gold(III) chloride,Gold,composed of,A chemical compound of gold and chlorine,unknown_0
Gold(III) chloride,Chlorine,composed of,A chemical compound of gold and chlorine,unknown_0
Gold(III) chloride,Auric chloride,synonym,Traditionally called auric chloride,unknown_0
Gold(III) chloride,Gold(I) chloride,related to,Another related chloride of gold,unknown_0
Gold(III) chloride,Chloroauric acid,product of,The product formed when gold dissolves in aqua regia,unknown_0
Gold(III) chloride,Aqua regia,formed from,A mixture of hydrochloric and nitric acids,unknown_0
Gold(III) chloride,Oxidation state,has,An oxidation state of +3,unknown_0
Gold(III) chloride,Solubility,has,Very soluble in water and ethanol,unknown_0
Gold(III) chloride,Decomposition,undergoes,Decomposes above 160 °C or in light,unknown_0
Gold(III) chloride,Hygroscopy,has,Very hygroscopic,unknown_0
chloride ion,chlorine,composition,chloride ion is composed of chlorine,unknown_0
chloride ion,anion,instance_of,chloride ion is an instance of an anion,unknown_0
chloride ion,ion,instance_of,chloride ion is an instance of an ion,unknown_0
chloride salts,sodium chloride,instance_of,chloride salts include sodium chloride,unknown_0
chloride salts,water,solubility,chloride salts are soluble in water,unknown_0
chloride ion,acid/base balance,regulation,chloride ion regulates acid/base balance,unknown_0
chloride ion,electrolyte,instance_of,chloride ion is an instance of an electrolyte,unknown_0
chloride ion,nerve impulses,transmission,chloride ion transmits nerve impulses,unknown_0
chloride ion,fluid regulation,regulation,chloride ion regulates fluid in and out of cells,unknown_0
methyl chloride,covalent bond,instance_of,methyl chloride is an instance of a covalent bond,unknown_0
Li Na,China,nationality,Li Na is a Chinese citizen,unknown_0
Li Na,Tennis,profession,Li Na is a professional tennis player,unknown_0
Li Na,Grand Slam singles,achievement,Li Na has won Grand Slam singles titles,unknown_0
Li Na,WTA tour,achievement,Li Na has won WTA tour titles,unknown_0
Li Na,East Asia,region,Li Na is a pioneer and trailblazer for tennis in East Asia,unknown_0
Grand Slam singles,Australian Open,host,The Australian Open is a Grand Slam singles tennis tournament,unknown_0
Grand Slam singles,French Open,host,The French Open is a Grand Slam singles tennis tournament,unknown_0
WTA tour,Guangzhou International Women's Open,host,The Guangzhou International Women's Open is a WTA tour tennis tournament,unknown_0
Tennis,Wimbledon Championships,host,The Wimbledon Championships are a Grand Slam singles tennis tournament,unknown_0
Tennis,Beijing Olympic Games,host,The Beijing Olympic Games feature tennis as one of the sports,unknown_0
Tennis,US Open,host,The US Open is a Grand Slam singles tennis tournament,unknown_0
Venus Williams,Serena Williams,sister,Biological relationship,unknown_0
Serena Williams,Venus Williams,sister,Biological relationship,unknown_0
Venus Williams,Tennis,participant,Professional tennis player,unknown_0
Serena Williams,Tennis,participant,Professional tennis player,unknown_0
Williams sisters,Grand Slam,participant,Professional tennis players,unknown_0
Grand Slam,Tennis,related,Major tennis tournament,unknown_0
Wimbledon,Grand Slam,instance,Tennis tournament,unknown_0
US Open,Grand Slam,instance,Tennis tournament,unknown_0
Richard Williams,Venus Williams,parent,Biological relationship,unknown_0
Richard Williams,Serena Williams,parent,Biological relationship,unknown_0
Oracene Price,Venus Williams,parent,Biological relationship,unknown_0
Oracene Price,Serena Williams,parent,Biological relationship,unknown_0
Career Doubles Grand Slam,Grand Slam,related,Achievement in doubles tennis,unknown_0
Career Doubles Golden Slam,Grand Slam,related,Achievement in doubles tennis,unknown_0
Olympic gold medals,Athletics,related,Award for athletic achievement,unknown_0
Olympics,Athletics,instance,International multi-sport event,unknown_0
Henri Leconte,French Open,participated in,Reached men's singles final in 1988,unknown_0
Henri Leconte,French Open,won,Won men's doubles title in 1984,unknown_0
Henri Leconte,Davis Cup,participated in,Helped France win in 1991,unknown_0
Henri Leconte,Career-high singles ranking,achieved,Reached world No. 5,unknown_0
French Open,Tennis,related to,Annual tennis tournament,unknown_0
Davis Cup,Tennis,related to,International team competition in tennis,unknown_0
Paris,France,located in,Capital city of France,unknown_0
Stefanie Maria Graf,tennis player,is,Stefanie Maria Graf is a tennis player,unknown_0
Stefanie Maria Graf,Grand Slam singles titles,has,Stefanie Maria Graf has won 22 Grand Slam singles titles,unknown_0
Stefanie Maria Graf,Golden Slam,achieved,Stefanie Maria Graf achieved the Golden Slam in 1988,unknown_0
Stefanie Maria Graf,Open Era,participated in,Stefanie Maria Graf participated in the Open Era,unknown_0
Stefanie Maria Graf,Serena Williams,compared to,Stefanie Maria Graf has fewer Grand Slam singles titles than Serena Williams,unknown_0
Stefanie Maria Graf,Margaret Court,compared to,Stefanie Maria Graf has fewer Grand Slam singles titles than Margaret Court,unknown_0
1986 German Open,Am Rothenbaum,location,venue of the tournament,unknown_0
1986 German Open,Hamburg,location,city where the tournament took place,unknown_0
1986 German Open,West Germany,location,country where the tournament took place,unknown_0
1986 German Open,Henri Leconte,winner,player who won the singles title,unknown_0
1986 Nabisco Grand Prix,1986 German Open,part_of,tournament series that included the 1986 German Open,unknown_0
men's tennis,1986 Nabisco Grand Prix,type,type of tennis played in the tournament,unknown_0
Jonathan Stark,United States,from,Jonathan Stark is from the United States,unknown_0
Jonathan Stark,tennis player,is a,Jonathan Stark is a tennis player,unknown_0
Jonathan Stark,Grand Slam doubles titles,won,Jonathan Stark won Grand Slam doubles titles,unknown_0
Jonathan Stark,French Open Men's Doubles,won,Jonathan Stark won the French Open Men's Doubles,unknown_0
Jonathan Stark,Wimbledon Championships Mixed Doubles,won,Jonathan Stark won the Wimbledon Championships Mixed Doubles,unknown_0
Jonathan Stark,World No. 1 doubles ranking,reached,Jonathan Stark reached the World No. 1 doubles ranking,unknown_0
Jonathan Stark,1994,in,Jonathan Stark reached the World No. 1 doubles ranking in 1994,unknown_0
Pam Teeguarden,American,nationality,Pam Teeguarden is an American,unknown_0
Pam Teeguarden,tennis player,occupation,Pam Teeguarden is a tennis player,unknown_0
Pam Teeguarden,Grand Slam Doubles Titles,winner,Pam Teeguarden won the Grand Slam Doubles Titles,unknown_0
Jerry Teeguarden,coach,occupation,Jerry Teeguarden is a coach,unknown_0
Jerry Teeguarden,Pam Teeguarden,parent,Jerry Teeguarden is Pam Teeguarden's father,unknown_0
Madison Avenue,advertising executives,employer,Madison Avenue employs advertising executives,unknown_0
Madison Avenue,Pam Teeguarden,influence,Madison Avenue influenced Pam Teeguarden's career,unknown_0
Chris Evert,US Open,participant,Chris Evert participated in the US Open,unknown_0
Nike,Pam Teeguarden,sponsor,Nike sponsored Pam Teeguarden,unknown_0
Los Angeles Strings,Pam Teeguarden,team member,Pam Teeguarden was a member of the Los Angeles Strings team,unknown_0
Tom Gullikson,Pam Teeguarden,partner,Tom Gullikson partnered with Pam Teeguarden in tennis,unknown_0
Kenneth Robert Rosewall,tennis,played,was a professional tennis player,unknown_0
Kenneth Robert Rosewall,Australia,from,was born in Australia,unknown_0
Kenneth Robert Rosewall,Grand Slam,won,won multiple Grand Slam titles,unknown_0
Kenneth Robert Rosewall,Pro Grand Slam,won,won Pro Grand Slam titles,unknown_0
Kenneth Robert Rosewall,backhand,had,had a renowned backhand,unknown_0
Kenneth Robert Rosewall,career,had,had a long and successful career,unknown_0
Kenneth Robert Rosewall,World No. 1,held,held the World No. 1 ranking,unknown_0
Kenneth Robert Rosewall,Australian Open,won,won the Australian Open without dropping a set,unknown_0
Grand Slam,tennis,part of,is a major tennis tournament,unknown_0
Pro Grand Slam,tennis,part of,is a professional tennis tournament,unknown_0
Open Era,tennis,part of,is a period in tennis history,unknown_0
Serena Williams,2009 Medibank International Sydney,participated in,Played in the tournament,unknown_0
Serena Williams,2009 tennis season,part of,Was a part of the season,unknown_0
Serena Williams,Justine Henin,compared to,Was compared to in terms of prize money earned,unknown_0
Serena Williams,Grand Slam titles,held,Held the record for most titles,unknown_0
Serena Williams,Prize money,earned,Earned a record amount of prize money,unknown_0
Serena Williams,Tennis,played,Played the sport,unknown_0
Serena Williams,Ranking,held,Held the number one ranking,unknown_0
Larisa Savchenko-Neiland,Soviet Union,represented,Larisa Savchenko-Neiland represented the Soviet Union in tennis,unknown_0
Larisa Savchenko-Neiland,Latvia,represented,Larisa Savchenko-Neiland represented Latvia in tennis,unknown_0
Larisa Savchenko-Neiland,Tennis,involved_in,Larisa Savchenko-Neiland was involved in tennis,unknown_0
Larisa Savchenko-Neiland,World Number One,achieved,Larisa Savchenko-Neiland achieved the ranking of World Number One in doubles,unknown_0
Larisa Savchenko-Neiland,Grand Slam,won,Larisa Savchenko-Neiland won Grand Slam titles in women's and mixed doubles,unknown_0
Larisa Savchenko-Neiland,Women's Doubles,won,Larisa Savchenko-Neiland won women's doubles titles,unknown_0
Larisa Savchenko-Neiland,Mixed Doubles,won,Larisa Savchenko-Neiland won mixed doubles titles,unknown_0
Larisa Savchenko-Neiland,Singles,won,Larisa Savchenko-Neiland won singles titles,unknown_0
Larisa Savchenko-Neiland,Doubles,won,Larisa Savchenko-Neiland won doubles titles,unknown_0
India,South Asia,located_in,Geographical location,unknown_0
India,Pakistan,borders,Shared land border,unknown_0
India,China,borders,Shared land border,unknown_0
India,Nepal,borders,Shared land border,unknown_0
India,Bhutan,borders,Shared land border,unknown_0
India,Myanmar,borders,Shared land border,unknown_0
India,Bangladesh,borders,Shared land border,unknown_0
India,Indian Ocean,adjacent_to,Maritime location,unknown_0
India,Sri Lanka,nearby,Geographical proximity,unknown_0
India,Maldives,nearby,Geographical proximity,unknown_0
Andaman and Nicobar Islands,Thailand,borders,Shared maritime border,unknown_0
Andaman and Nicobar Islands,Indonesia,borders,Shared maritime border,unknown_0
India,Democracy,has,System of government,unknown_0
